Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2023-06-20 00:00:00-04:00,182.58192130455032,184.2551705135613,182.58192130455032,183.17596435546875,49799100,0.0,0.0,AAPL
2023-06-21 00:00:00-04:00,183.06706733943585,183.5720213426237,180.77996894802234,182.1363983154297,49515700,0.0,0.0,AAPL
2023-06-22 00:00:00-04:00,181.91859254012144,185.19577812392734,181.84927919785179,185.14627075195312,51245300,0.0,0.0,AAPL
2023-06-23 00:00:00-04:00,183.71063403229002,185.70070333532985,183.17597862652977,184.8294219970703,53079300,0.0,0.0,AAPL
2023-06-26 00:00:00-04:00,184.9779592329188,186.18586660248252,183.39381396241686,183.4334259033203,48088700,0.0,0.0,AAPL
2023-06-27 00:00:00-04:00,184.04726807160984,186.52248552112178,183.8294477274505,186.1957550048828,50730800,0.0,0.0,AAPL
2023-06-28 00:00:00-04:00,186.06704032710473,188.01751290126907,185.7403249158235,187.37396240234375,51216800,0.0,0.0,AAPL
2023-06-29 00:00:00-04:00,187.2056476277424,188.18583917474905,187.06703605511274,187.71058654785156,46347300,0.0,0.0,AAPL
2023-06-30 00:00:00-04:00,189.73039525314567,192.55213441538433,189.36405275409535,192.0471954345703,85069600,0.0,0.0,AAPL
2023-07-03 00:00:00-04:00,191.85906155166862,191.95807629669292,189.8590815409033,190.55215454101562,31458200,0.0,0.0,AAPL
2023-07-05 00:00:00-04:00,189.67096065277283,191.06697174397888,188.73036598215447,189.43333435058594,46920300,0.0,0.0,AAPL
2023-07-06 00:00:00-04:00,187.95811200082892,190.11650951153766,187.32445692665846,189.90858459472656,45094300,0.0,0.0,AAPL
2023-07-07 00:00:00-04:00,189.51255404191053,190.7600582083635,188.35415407859097,188.78977966308594,46778000,0.0,0.0,AAPL
2023-07-10 00:00:00-04:00,187.38386117936162,188.10663557063202,185.18586681905202,186.7403106689453,59922200,0.0,0.0,AAPL
2023-07-11 00:00:00-04:00,187.28487201023415,187.42348359441797,184.75025155228488,186.215576171875,46638100,0.0,0.0,AAPL
2023-07-12 00:00:00-04:00,187.799720397862,189.79970063942116,186.60172342547762,187.8888397216797,60750200,0.0,0.0,AAPL
